Título,Desenvolvedor,Publicador,Exclusivo,Europa,Japão,América Do Norte,Brasil,Referências
Blue Estate,Hesaw,Focus Home Interactive,Não,2014,Não definido,2014,2014,[34]
Bombshell,3D Realms / Interceptor Entertainment,3D Realms / Interceptor Entertainment,Console,2015,2015,2015,2015,[35]
Bound by Flame,Spiders,Focus Home Interactive,Não,2014,2014,2014,2014,[36]
Broforce,Free Lives Games,Devolver Digital,Console,2015,2015,2015,2015,[37]
Call of Cthulhu,Frogwares,Focus Home Interactive,Não,Não definido,Não definido,Não definido,Não definido,[38]
Call of Duty: Advanced Warfare,Sledgehammer Games,Activision,Não,2014,2014,2014,2014,[39]
Call of Duty: Ghosts,Infinity Ward,Activision,Não,2013,2014,2013,2013,[40]
Call of Duty: Black Ops III,Treyarch,Activision,Não,2015,2015,2015,2015,Não definido
Carmageddon: Reincarnation,Stainless Games,Stainless Games,Não,2014,2014,2014,2014,[41]
CastleStorm,Zen Studios,Zen Studios,Não,2014,2014,2014,2014,[42]
Cel Damage HD,Finish Line Games,Finish Line Games,Não,Não definido,Não definido,2014,2014,[43]
Chariot,Frima Studio,Frima Studio,Não,2014,2014,2014,2014,[44]
Chasm,"Discord Games, Inc.","Discord Games, Inc.",Console,2014,2014,2014,2014,[45]
Child of Light,Ubisoft Montreal,Ubisoft,Não,2014,2014,2014,2014,[46]
Chroma Squad,Behold Studios,Behold Studios,Não,Não definido,Não definido,Não definido,Não definido,[47]
Churbles,CrashGem,CrashGem,Não,Não definido,Não definido,Não definido,Não definido,[48]
Citizens of Earth,Atlus,Eden Industries,Não,2014,2014,2014,2014,[49]
Contrast,Compulsion Games,Compulsion Games,Não,2013,2014,2013,2013,[50]
Cosmic Star Heroine,Zeboyd Games,Zeboyd Games,Não,Não definido,Não definido,Não definido,Não definido,[51]
Costume Quest 2,Double Fine Productions,Double Fine Productions,Não,Não definido,Não definido,2014,2014,[52]
CounterSpy,Dynamighty,Dynamighty,Console,2014,2014,2014,2014,[53]
Crash Bandicoot N. Sane Trilogy,Vicarious Visions,Activision,Sim,2017,2017,2017,2017,[54]
Crazy Climber,Nichibutsu,Hamster Corporation,Não,Não definido,2014,Não definido,Não definido,[55]
Crossing The Line,Zomboko Entertainment,Zomboko Entertainment,Não,Não definido,Não definido,Não definido,Não definido,Não definido
Cyberpunk 2077,CD Projekt RED,Não definido,Não,2015,2015,2015,2015,[56]
Daylight,Zombie Studios,Atlus,Console,2014,2014,2014,—,[57][58]
DayZ,Bohemia Interactive,Bohemia Interactive,Console,Não definido,Não definido,Não definido,Não definido,[59]
Dead by Daylight,Behaviour Interactive,Starbreeze Studios,Console,2017,2017,2017,2017,[60]
Dead Island 2,Yager Development,Deep Silver,Não,Não definido,Não definido,Não definido,Não definido,[61]
Dead Nation: Apocalypse Edition,Housemarque,Sony Computer Entertainment,Sony,2014,Não definido,2014,2014,[62]
Dead or Alive 5: Last Round,Tecmo Koei,Tecmo Koei,Não,Não definido,Não definido,Não definido,Não definido,[63]
Defense Grid 2,Hidden Path Entertainment,505 Games,Não,Não definido,Não definido,Não definido,Não definido,[64]
Destiny,Bungie,JP Sony Computer EntertainmentWW Activision,Não,2014,2014,2014,2014,[65][66]
Detroit: Become Human,Quantic Dream,Sony Computer Entertainment,Sim,2017,2017,2017,2017,[67]
Diablo III,Blizzard Entertainment,Blizzard Entertainment,Não,2014,2014,2014,2014,[68][69][70][71]
Dirt 4,Codemasters,Codemasters,Não,2017,2017,2017,2017,Não definido
Dirt Rally,Codemasters,Codemasters,Não,2017,2017,2017,2017,Não definido
Dirt Rally 2.0,Codemasters,Codemasters,Não,2019,2019,2019,2019,Não definido
Disgaea 5,Nippon Ichi Software,Nippon Ichi Software,Sim,Não definido,2015,Não definido,Não definido,[72]
Disney Infinity: Marvel Super Heroes,Avalanche Software,Disney Interactive Studios,Não,2014,2014,2014,2014,[73]
Divekick,Iron Galaxy Studios,Iron Galaxy Studios,Não,Não definido,Não definido,2014,2014,[74]
Doki-Doki Universe,HumaNature Studios,HumaNature Studios,Sony,2013,2014,2013,2013,[75]
Doom,Id Software,Bethesda Softworks,Não,Não definido,Não definido,Não definido,Não definido,[76]
Don't Starve,Klei Entertainment,Klei Entertainment,Console,2014,2014,2014,2014,[77]
Dragon Age: Inquisition,BioWare,Electronic Arts,Não,2014,2014,2014,2014,[78]
Dragon Ball Xenoverse,Dimps,Namco Bandai Games,Não,Não definido,Não definido,Não definido,Não definido,[79]
Dragon Fin Soup,Grimm Bros,Grimm Bros,Console,2015,2015,2015,2015,[20]
Dragon Quest Heroes,Koei Tecmo,Square Enix,Sony,—,2015,—,—,[20]
Dreadnaught,Yager Development,Grey Box,Console,2015,2015,2015,2015,[80]
Drifter,Celsius Game Studios,Celsius Game Studios,Console,2014,2014,2014,2014,.[81]
Driveclub,Evolution Studios,Sony Computer Entertainment,Sim,2014,2014,2014,2014,.[82]
Dying Light,Techland,Warner Bros. Interactive,Não,2015,2015,2015,2015,[83]
Dynasty Warriors 8: Xtreme Legends Complete Edition,Tecmo Koei,Tecmo Koei,Console,2014,2014,2014,2014,[84]
Dynasty Warriors 8: Empires,Omega Force,Tecmo Koei,Não,2014,Não definido,Não definido,Não definido,Não definido
EA Sports UFC,EA Canada,Electronic Arts,Não,2014,2014,2014,2014,[85]
Earth Defense Force 4.1: The Shadow of New Despair,Não definido,D3,Não,Não definido,2015,Não definido,Não definido,[86]
Earthlock: Festival of Magic,Snowcastle Games,Snowcastle Games,Não,2015,2015,2015,2015,Não definido
Energy Hook,Happion Labs,Happion Labs,Não,2014,Não definido,2014,2014,[87]
Entwined,Pixelopus,Sony Computer Entertainment,Sony,2014,2014,2014,2014,[88]
Escape Plan,Fun Bits Interactive,Sony Computer Entertainment,Sony,2013,2014,2013,2013,[89]
Escape Goat 2,MagicalTimeBean,Double Fine Productions,Console,2014,2014,2014,2014,[90]
Ether One,White Paper Games,White Paper Games,Console,2014,2014,2014,2014,[91]
Everybody's Gone to the Rapture,The Chinese Room / SCE Santa Monica Studio,Sony Computer Entertainment,Sim,2015,Não definido,Não definido,Não definido,[92][93]
Evolve,Turtle Rock Studios,2K Games,Não,2015,2015,2015,2015,[94]
F1 2015,Codemasters,Codemasters,Não,2015,2015,2015,2015,Não definido
F1 2016,Codemasters,Codemasters,Não,2016,2016,2016,2016,Não definido
F1 2017,Codemasters,Codemasters,Não,2017,2017,2017,2017,Não definido
F1 2018,Codemasters,Codemasters,Não,2018,2018,2018,2018,Não definido
F1 2019,Codemasters,Codemasters,Não,2019,2019,2019,2019,Não definido
Fairy Fencer F: Advent Dark Force,Compile Heart,Não definido,Sim,Não definido,2015,Não definido,Não definido,[95]
Far Cry 4,Ubisoft Montreal,Ubisoft,Não,2014,2015,2014,2014,[96]
Farming Simulator 15,Giants Software,Focus Home Interactive,Não,2015,2015,2015,2015,Não definido
Farming Simulator 17,Giants Software,Focus Home Interactive,Não,2016,2017,2016,2016,Não definido
Farming Simulator 19,Giants Software,Focus Home Interactive,Não,2018,2019,2018,2018,Não definido
Fez,Polytron Corporation,Polytron Corporation,Não,2014,Não definido,2014,2014,[97][98][99]
Fenix Rage,Green Lava Studios,Green Lava Studios,Não,Não definido,Não definido,Não definido,Não definido,Não definido
Fibbage,Jackbox Games,Jackbox Games,Não,Não definido,Não definido,2014,2014,Não definido
FIFA 14,EA Canada,Electronic Arts,Não,2013,2014,2013,2013,[85]
FIFA 15,EA Canada,Electronic Arts,Não,2014,Não definido,2014,2014,[100]
FIFA 16,EA Canada,Electronic Arts,Não,2015,2015,2015,2015,Não definido
FIFA 17,EA Canada,Electronic Arts,Não,2016,2016,2016,2016,Não definido
FIFA 18,EA Canada,Electronic Arts,Não,2017,2017,2017,2017,Não definido
FIFA 19,EA Canada,Electronic Arts,Não,2018,2018,2018,2018,Não definido
FIFA 20,EA Canada,Electronic Arts,Não,2019,2019,2019,2019,Não definido
FIFA 21,EA Canada,Electronic Arts,Não,2020,2020,2020,2020,Não definido
FIFA 22,EA Canada,Electronic Arts,Não,2021,2021,2021,2021,Não definido
Final Fantasy Type-0 HD,Square Enix,Square Enix,Não,2015,2015,2015,—,[101]
Final Fantasy XIV: A Realm Reborn,Square Enix,Square Enix,Console,2014,2014,2014,—,[102]
Final Fantasy XV,Square Enix,Square Enix,Não,Não definido,Não definido,Não definido,Não definido,[103]
Final Horizon,Eiconic Games,Eiconic Games,Console,Não definido,Não definido,Não definido,Não definido,[104]
Flockers,Team17,Team17,Não,2014,2014,2014,2014,Não definido
Flow,SuperVillain Studios,Sony Computer Entertainment,Console,2013,2014,2013,2013,[89]
Flower,Bluepoint Games,Sony Computer Entertainment,Sony,2013,2014,2013,2013,[53][89]
Forgotten Memories,Psychoz Interactive,Psychoz Interactive,Não,Não definido,Não definido,Não definido,Não definido,[105]
Forma.8,MixedBag Games,MixedBag Games,Não,2014,2014,2014,2014,[106][107]
Foul Play,Mediatonic,Devolver Digital,Não,Não definido,Não definido,Não definido,Não definido,[108]
Fushigi no Gensōkyō 3,AQUA STYLE,Mediascape,Console,Não definido,Não definido,Não definido,Não definido,[109][110]
Galak-Z: The Dimensional,17-BIT,17-BIT,Console,2014,2014,2014,2014,[111]
Get Even,The Farm 51,The Farm 51,Não,2015,2015,2015,2015,[112]
God Eater 2: Rage Burst,Namco Bandai,Namco Bandai,Sim,Não definido,Não definido,Não definido,Não definido,[113]
God of War III Remastered,SCE Santa Monica Studio,Sony Computer Entertainment,Sim,2015,2015,2015,2015,Não definido
God of War,SCE Santa Monica Studio,Sony Interactive Entertainment,Sim,Não definido,Não definido,Não definido,Não definido,Não definido
God of War Ragnarök,Santa Monica Studio,Sony Interactive Entertainment,Console,2022,2022,2022,2022,Não definido
Gone Home,The Fullbright Company,Midnight City,Não,2014,Não definido,2014,2014,[114]
Grand Theft Auto V,Rockstar North,Rockstar Games,Não,2014,2014,2014,2014,[115]
Gran Turismo 7,Polyphony Digital,Sony Computer Entertainment,Sim,Não definido,Não definido,Não definido,Não definido,[116]
Grave,Broken Window Studios,Broken Window Studios,Não,Não definido,Não definido,Não definido,Não definido,Não definido
Grim Fandango,Double Fine Productions,Disney Interactive Studios,Não,Não definido,Não definido,Não definido,Não definido,[117]
Guacamelee! Super Turbo Championship Edition,DrinkBox Studios,DrinkBox Studios,Não,2014,2014,2014,2014,[118]
Guilty Gear Xrd,Arc System Works,JP Arc System WorksAN Aksys Games,Console,2014,2014,2014,2014,[119]
Guns of Icarus Online,Muse Games,Muse Games,Console,2014,2014,2014,2014,[120]
Gunsport,Necrosoft Games,Iron Galaxy Studios,Não,Não definido,Não definido,Não definido,Não definido,Não definido
H-Hour: World's Elite,SOF Studios,SOF Studios,Console,2015,2015,2015,2015,[121]
Hand of Fate,Defiant Development,Defiant Development,Console,Não definido,Não definido,Não definido,Não definido,[122]
Heart Forth: Alicia,Alonso Martin,Não definido,Console,Não definido,Não definido,Não definido,Não definido,[123]
Helldivers,Arrowhead Studios,Sony Computer Entertainment,Sony,2014,2014,2014,2014,[124]
Hellraid,Techland,Techland,Não,2015,2015,2015,2015,[125]
Hohokum,Honeyslug,Sony Computer Entertainment,Sony,2014,2014,2014,2014,[126]
Home,Benjamin Rivers,Benjamin Rivers,Console,2014,2014,2014,2014,[127]
Homefront: The Revolution,Crytek,Deep Silver,Não,2015,2015,2015,2015,Não definido
Horizon: Zero Dawn,Guerilla Games,Sony Computer Entertainment,Sim,2017,2017,2017,2017,[128][129]
Hotline Miami,Dennaton Games,Devolver Digital,Console,2014,Não definido,2014,2014,Não definido
Hotline Miami 2: Wrong Number,Dennaton Games,Devolver Digital,Console,2014,Não definido,2014,2014,Não definido
Human Element,Robotoki,Robotoki,Não,2015,2015,2015,2015,[130]
HUNT: Horrors of the Gilded Age,Crytek USA,Crytek,Não,2014,2014,2014,2014,[131]
Hyperdimension Neptunia VII,Compile Heart,Compile Heart,Sim,Não definido,Não definido,Não definido,Não definido,[2]
Hyper Light Drifter,Heart Machine,Heart Machine,Não,2014,2014,2014,2014,[132][133]
Infamous: Second Son,Sucker Punch Productions,Sony Computer Entertainment,Sim,2014,2014,2014,2014,[134]
Infamous First Light,Sucker Punch Productions,Sony Computer Entertainment,Sim,2014,2014,2014,2014,[135]
Injustice: Gods Among Us Ultimate Edition,High Voltage Software,Warner Bros. Interactive Entertainment,Não,2013,2014,2013,2013,[134][136][137]
Ironclad Tactics,Zachtronics,Zachtronics,Console,2014,2014,2014,2014,[138]
The Jackbox Party Pack,Jackbox Games,Jackbox Games,Não,2015,Não definido,2014,2015,Não definido
The Jackbox Party Pack 2,Jackbox Games,Jackbox Games,Não,2015,Não definido,2015,2015,Não definido
The Jackbox Party Pack 3,Jackbox Games,Jackbox Games,Não,2016,Não definido,2016,2016,Não definido
The Jackbox Party Pack 4,Jackbox Games,Jackbox Games,Não,2017,Não definido,2017,2017,Não definido
The Jackbox Party Pack 5,Jackbox Games,Jackbox Games,Não,2018,Não definido,2018,2018,Não definido
The Jackbox Party Pack 6,Jackbox Games,Jackbox Games,Não,Não definido,Não definido,Não definido,Não definido,Não definido
Jamestown Plus,Final Form Games,Final Form Games,Console,2014,2014,2014,2014,[139]
Joysound Dive 2,Xing Entertainment,Xing Entertainment,Sim,Não definido,2014,Não definido,Não definido,[140]
Just Dance 2014,Ubisoft Milan,Ubisoft,Não,2013,2014,2013,2013,[141]
Just Dance 2015,Ubisoft Milan & Ubisoft Paris,Ubisoft,Não,2014,2014,2014,2014,Não definido
Just Dance 2016,Ubisoft,Ubisoft,Não,2015,2015,2015,2015,Não definido
Just Dance 2017,Ubisoft Montreal,Ubisoft,Não,2016,2016,2016,2016,Não definido
Just Dance 2018,Ubisoft Paris,Ubisoft,Não,2017,2017,2017,2017,Não definido
Just Dance 2019,Ubisoft Paris,Ubisoft,Não,2018,2018,2018,2018,Não definido
Just Dance 2020,Ubisoft Paris,Ubisoft,Não,2019,2019,2019,2019,Não definido
Kickbeat,Zen Studios,Zen Studios,Não,2014,2014,2014,2014,[42]
Killzone Shadow Fall,Guerrilla Games,Sony Computer Entertainment,Sim,2013,2014,2013,2013,[142]
King Oddball,10tons Ltd.,10tons Ltd.,Console,2014,Não definido,2014,2014,[143]
Kingdom Come: Deliverance,Warhorse Studios,Warhorse Studios,Não,2015,Não definido,2015,2015,[144]
Kingdom Hearts III,Square Enix,Square Enix,Não,Não definido,Não definido,Não definido,Não definido,[145]
Kingdom Under Fire II,Blueside,Não definido,Console,Não definido,Não definido,2014,2014,[146]
Knack,SCE Japan Studio,Sony Computer Entertainment,Sim,2013,2014,2013,2013,[147]
Kodoku,Carnivore Studio,Carnivore Studio,Sony,2015,2015,2015,2015,[148]
Legend of Raven,Circle Edge,Nicalis,Não,Não definido,Não definido,2014,2014,[149]
Lego The Hobbit,TT Games,Warner Bros. Interactive Entertainment,Não,2014,Não definido,2014,2014,[150]
Lego Marvel Super Heroes,TT Games,Warner Bros. Interactive Entertainment,Não,2013,2014,2013,2013,[151]
Liege,Coda Games,Coda Games,Não,2014,2014,2014,2014,[152]
Lily Bergamo,Grasshopper Manufacture,GungHo Online Entertainment,Sim,2014,2014,2014,2014,[153]
LittleBigPlanet 3,Sumo Digital,Sony Computer Entertainment,Sim,2014,2014,2014,2014,[154]
Lords of the Fallen,Deck13 Interactive,City Interactive,Não,2014,2014,2014,2014,[155]
Mad Max,Avalanche Studios,Warner Bros. Interactive,Não,2015,2015,2015,2015,[156]
Madden NFL 25,EA Tiburon,Electronic Arts,Não,2012,2014,2013,2013,[85]
Madden NFL 15,EA Tiburon,Electronic Arts,Não,Não definido,Não definido,Não definido,Não definido,[85]
Madden NFL 16,EA Tiburon,Electronic Arts,Não,Não definido,2015,2015,2015,Não definido
Madden NFL 17,EA Tiburon,Electronic Arts,Não,2016,2016,2016,2016,Não definido
Madden NFL 18,EA Tiburon,Electronic Arts,Não,2017,2017,2017,2017,Não definido
Madden NFL 19,EA Tiburon,Electronic Arts,Não,2018,2018,2018,2018,Não definido
Madden NFL 20,EA Tiburon,Electronic Arts,Não,2019,2019,2019,2019,Não definido
Magicka 2,Pieces Interactive,Paradox Interactive,Console,Não definido,Não definido,Não definido,Não definido,[157]
Marc Ecko's Getting Up 2,Não definido,Não definido,Não,Não definido,Não definido,Não definido,Não definido,[158]
Mário NX,Nintendo EZ,Ancmit,Console,2014,2014,2014,2014,Não definido
Marvel vs. Capcom: Infinite,Capcom,Capcom,Não,2017,2017,2017,2017,Não definido
Metal Gear Solid V: Ground Zeroes,Kojima Productions,Konami,Não,2014,2014,2014,2014,[159]
Metal Gear Solid V: The Phantom Pain,Kojima Productions,Konami,Não,2015,2015,2015,2015,[160]
Metro 2033 Redux,4A Games,Deep Silver,Não,2014,2014,2014,2014,[161]
Metro: Last Light Redux,4A Games,Deep Silver,Não,2014,2014,2014,2014,[161]
Terra-Média: Sombras de Mordor,Monolith Productions,Warner Bros. Interactive,Não,2014,2014,2014,2014,[162]
Mighty No. 9,Comcept / Inti Creates,Não definido,Não,2014,2014,2014,2014,[163]
Minecraft,4J Studios,Mojang,Não,Não definido,2014,2014,2014,[164]
Mirror's Edge 2,DICE,Electronic Arts,Não,Não definido,Não definido,Não definido,Não definido,[165]
MLB 14: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2014,2014,2014,2014,[166]
MLB 15: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2015,2015,2015,2015,Não definido
MLB 16: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2016,2016,2016,2016,Não definido
MLB 17: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2017,2017,2017,2017,Não definido
MLB 18: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2018,2018,2018,2018,Não definido
MLB 18: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2018,2018,2018,2018,Não definido
MLB 19: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2019,2019,2019,2019,Não definido
Mobile Suit Gundam,Bandai Namco Games,Bandai Namco Games,Sim,Não definido,Não definido,Não definido,Não definido,[167]
Monochroma,Nowhere Studios,Nowhere Studios,Não,2014,Não definido,2014,2014,[168]
Mortal Kombat X,NetherRealm Studios,Warner Bros. Interactive Entertainment,Não,2015,2015,2015,2015,Não definido
MotoGP 14,Milestone S.r.l.,Milestone S.r.l.,Console,2014,2014,2014,2014,[169]
MotoGP 15,Milestone S.r.l.,Milestone S.r.l.,Console,2015,2015,2015,2015,Não definido
MotoGP 16,Milestone S.r.l.,Milestone S.r.l.,Console,2016,2016,2016,2016,Não definido
MotoGP 17,Milestone S.r.l.,Milestone S.r.l.,Console,2017,2017,2017,2017,Não definido
MotoGP 18,Milestone S.r.l.,Milestone S.r.l.,Console,2018,2018,2018,2018,Não definido
MotoGP 19,Milestone S.r.l.,Milestone S.r.l.,Console,2019,2019,2019,2019,Não definido
Mousecraft,Crunching Koalas,Crunching Koalas,Console,2014,Não definido,2014,2014,[170]
Murdered: Soul Suspect,Airtight Games,Square Enix,Não,2014,Não definido,2014,2014,Não definido
MXGP The Official Motocross Videogame,Milestone S.r.l.,Milestone S.r.l.,Não,2014,2014,2014,2014,Não definido
MXGP 2,Milestone S.r.l.,Milestone S.r.l.,Não,2016,2016,2016,2016,Não definido
MXGP 3,Milestone S.r.l.,Milestone S.r.l.,Não,2017,2017,2017,2017,Não definido
MXGP 4,Milestone S.r.l.,Milestone S.r.l.,Não,2019,2019,2019,2019,Não definido
N++,Metanet Software,Não definido,Sim,2014,2014,2014,2014,[171]
Naruto Shippuden: Ultimate Ninja Storm 4,CyberConnect2,Bandai Namco Games,Não,2016,2016,2016,2016,Não definido
Naruto Shippuden: Ultimate Ninja Storm Trilogy,CyberConnect2,Bandai Namco Entertainment,Não,2017,2017,2017,2017,Não definido
Natural Doctrine,Kadokawa Games,Kadokawa Games,Sony,2014,2014,2014,2014,[172]
NBA 2K14,Visual Concepts,2K Sports,Não,2013,2014,2013,2013,[173]
NBA 2K15,Visual Concepts,2K Sports,Não,Não definido,Não definido,2014,2014,Não definido
NBA 2K16,Visual Concepts,2K Sports,Não,2015,2015,2015,2015,Não definido
NBA 2K17,Visual Concepts,2K Sports,Não,2016,2016,2016,2016,Não definido
NBA 2K18,Visual Concepts,2K Sports,Não,2017,2017,2017,2017,Não definido
NBA 2K19,Visual Concepts,2K Sports,Não,2018,2018,2018,2018,Não definido
NBA 2K20,Visual Concepts,2K Sports,Não,2019,2019,2019,2019,Não definido
NBA Live 14,EA Tiburon,Electronic Arts,Não,2013,2014,2013,2013,[85]
NBA Live 15,EA Tiburon,Electronic Arts,Não,2014,2014,2014,Não definido,Não definido
NBA Live 16,EA Tiburon,Electronic Arts,Não,2016,2015,2015,2015,Não definido
NBA Live 18,EA Tiburon,Electronic Arts,Não,2017,2017,2017,2017,Não definido
NBA Live 19,EA Tiburon,Electronic Arts,Não,2018,2018,2018,2018,Não definido
NBA Playgrounds,Saber Interactive,Saber Interactive,Não,Não definido,2017,2017,Não definido,Não definido
Need for Speed: Heat,Ghost Games,Electronic Arts,Não,2019,2019,2019,2019,[174]
Need for Speed: Rivals,Ghost Games,Electronic Arts,Não,2013,2014,2013,2013,[175]
NHL 15,EA Vancouver,EA Sports,Não,2014,Não definido,2014,2014,[176]
NHL 16,EA Vancouver,EA Sports,Não,2015,2015,2015,2015,Não definido
NHL 17,EA Vancouver,EA Sports,Não,2016,2016,2016,2016,Não definido
NHL 18,EA Vancouver,EA Sports,Não,2017,2017,2017,2017,Não definido
NHL 19,EA Vancouver,EA Sports,Não,2018,2018,2018,2018,Não definido
NHL 20,EA Vancouver,EA Sports,Não,2019,2019,2019,2019,Não definido
Nikoli no Puzzle 4: Sudoku,HAMSTER,HAMSTER,Sim,Não definido,2014,Não definido,Não definido,[177]
Nidhogg,Messhof,Messhof,Console,2014,2014,2014,2014,[178]
Ninja Kid's Demon Castle Adventure,Hamster Corporation,Hamster Corporation,Não,Não definido,2014,Não definido,Não definido,[55]
Nobunaga no Yabō Online: Tenka Mugen no Shō,Tecmo Koei,Tecmo Koei,Console,Não definido,2014,Não definido,Não definido,[179]
Nobunaga no Yabō: Sozō,Tecmo Koei,Tecmo Koei,Sony,Não definido,2014,Não definido,Não definido,[180]
No Man's Sky,Hello Games,Hello Games,Não,2016,2016,2016,2016,Não definido
Not a Hero,Roll7,Devolver Digital,Timed,2014,2014,2014,2014,Não definido
Nuclear Throne,Vlambeer,Vlambeer,Não,Não definido,Não definido,Não definido,Não definido,[181]
Octodad: Dadliest Catch,"Young Horses, Inc","Young Horses, Inc",Console,2014,2014,2014,2014,[182][183]
Oddworld: New 'n' Tasty!,Just Add Water,Oddworld Inhabitants,Não,Não definido,Não definido,Não definido,Não definido,[184]
OlliOlli,Roll7,Roll7,Console,2014,2014,2014,2014,[185]
Omega Quintet,Compile Heart,Compile Heart,Sim,Não definido,2014,Não definido,Não definido,[186]
One Piece: Burning Blood,Spike Chunsoft,Bandai Namco Games,Não,2016,2016,2016,2016,Não definido
Os Cavaleiros do Zodíaco: Alma dos Soldados,Dimps,Bandai Namco Games,Não,2015,2015,2015,2015,Não definido
Outlast,Red Barrels Studio,Red Barrels Studio,Console,2014,2014,2014,2014,[187]
Pavilion,Visiontrick Media,Visiontrick Media,Sony,2014,2014,2014,2014,[188]
Pro Evolution Soccer 2015,Konami,Konami,Não,2014,2014,2014,2014,Não definido
Pro Evolution Soccer 2016,Konami,Konami,Não,2015,2015,2015,2015,Não definido
Pro Evolution Soccer 2017,Konami,Konami,Não,2016,2016,2016,2016,Não definido
Pro Evolution Soccer 2018,Konami,Konami,Não,2017,2017,2017,2017,Não definido
Pro Evolution Soccer 2019,Konami,Konami,Não,2018,2018,2018,2018,Não definido
Pro Evolution Soccer 2020,Konami,Konami,Não,2019,2019,2019,2019,Não definido
Phantom Breaker: Battle Grounds Overdrive,5pb.,5pb.,Sim,Não definido,Não definido,Não definido,Não definido,[189]
PixelJunk Shooter Ultimate,Double Eleven Studios / Q-Games,Sony Computer Entertainment,Sony,2014,2014,2014,2014,[190]
Pier Solar HD,WaterMelon,WaterMelon,Não,2014,2014,2014,2014,[191]
Plants vs. Zombies: Garden Warfare,PopCap Games,Electronic Arts,Não,2014,Não definido,2014,2014,Não definido
Plants vs Zombies: Garden Warfare 2,PopCap Games,Eletronic Arts,Não,2016,ASA,2016,2016,[192]
