Título,Desenvolvedor,Publicador,Exclusivo,Europa,Japão,América Do Norte,Brasil
Valiant Hearts: The Great War,Ubisoft Montpellier,Ubisoft,Não,2014,2014,2014,2014
Velocity 2X,FuturLab,FuturLab,Sim,2014,2014,2014,2014
Volume,Mike Bithell Games,Não definido,Console,2014,2014,2014,2014
"Warhammer 40,000: Eternal Crusade",Behaviour Interactive,Behaviour Interactive,Não,2015,2015,2015,2015
Watch Dogs,Ubisoft MontrealUbisoft ReflectionsUbisoft Romania,Ubisoft,Não,2014,2014,2014,2014
Watch Dogs 2,Não definido,Ubisoft,Não,Não definido,Não definido,Não definido,Não definido
Whore of the Orient,Team Bondi,Não definido,Não,2015,2015,2015,2015
Without Memory,Dinosaurum Games,Dinosaurum Games,Sim,2016,2016,2016,2016
Wolfenstein: The New Order,MachineGames,Bethesda Softworks,Não,2014,2014,2014,2014
WonderFlick,Level-5,Level-5,Não,2014,2014,2014,2014
WRC 5,Kylotonn Games,Bigben Interactive,Não,2015,2015,2015,2015
WRC 6,Kylotonn Games,Bigben Interactive,Não,2016,2016,2016,2016
WRC 7,Kylotonn Games,Bigben Interactive,Não,2017,2017,2017,2017
WRC 8,Kylotonn Games,Bigben Interactive,Não,Não definido,Não definido,Não definido,Não definido
Worms Battlegrounds,Team17,Team17,Não,2014,2014,2014,2014
WWE 2K15,Yuke's/Visual Concepts,2K Sports,Não,2014,2014,2014,2014
WWE 2K16,Yuke's/Visual Concepts,2K Sports,Não,2015,2015,2015,2015
WWE 2K17,Yuke's/Visual Concepts,2K Sports,Não,2016,2016,2016,2016
WWE 2K18,Yuke's/Visual Concepts,2K Sports,Não,2017,2017,2017,2017
WWE 2K19,Yuke's/Visual Concepts,2K Sports,Não,2018,2018,2018,2018
WWE 2K20,Yuke's/Visual Concepts,2K Sports,Não,2019,2019,2019,2019
